/usr/java/bin/java -XX:MaxRAMPercentage=85.0 -cp /binary/ycsb/mongodb-binding/conf:/binary/ycsb/conf:/binary/ycsb/lib/jackson-core-asl-1.9.4.jar:/binary/ycsb/lib/core-0.18.0-SNAPSHOT.jar:/binary/ycsb/lib/jackson-mapper-asl-1.9.4.jar:/binary/ycsb/lib/HdrHistogram-2.1.4.jar:/binary/ycsb/lib/htrace-core4-4.1.0-incubating.jar:/binary/ycsb/mongodb-binding/lib/logback-classic-1.1.2.jar:/binary/ycsb/mongodb-binding/lib/mongo-java-driver-3.11.0.jar:/binary/ycsb/mongodb-binding/lib/mongodb-async-driver-2.0.1.jar:/binary/ycsb/mongodb-binding/lib/logback-core-1.1.2.jar:/binary/ycsb/mongodb-binding/lib/mongodb-binding-0.18.0-SNAPSHOT.jar:/binary/ycsb/mongodb-binding/lib/snappy-java-1.1.7.1.jar:/binary/ycsb/mongodb-binding/lib/slf4j-api-1.7.25.jar site.ycsb.Client -db site.ycsb.db.MongoDbClient -s -p mongodb.url=mongodb://benchant:BareRebel2022@mongodb-small-calibrati-shard-00-00.c2hd1.mongodb.net:27017,mongodb-small-calibrati-shard-00-01.c2hd1.mongodb.net:27017,mongodb-small-calibrati-shard-00-02.c2hd1.mongodb.net:27017/?ssl=true&authSource=admin&replicaSet=atlas-kaysfi-shard-0&w=majority&j=true&readPreference=primary -p batchsize=1 -p workload=site.ycsb.workloads.CoreWorkload -p maxexecutiontime=1800 -threads 50 -p recordcount=500000000 -p operationcount=99000000 -target 5000 -p fieldcount=10 -p fieldlength=100 -p requestdistribution=uniform -p insertorder=ordered -p readproportion=0.95 -p updateproportion=0.05 -p insertproportion=0.0 -p scanproportion=0.0 -p maxscanlength=1000 -p scanlengthdistribution=uniform -p measurementtype=hdrhistogram -p hdrhistogram.fileoutput=true -p hdrhistogram.output.path=/home/developer/results/ -t
Command line: -db site.ycsb.db.MongoDbClient -s -p mongodb.url=mongodb://benchant:BareRebel2022@mongodb-small-calibrati-shard-00-00.c2hd1.mongodb.net:27017,mongodb-small-calibrati-shard-00-01.c2hd1.mongodb.net:27017,mongodb-small-calibrati-shard-00-02.c2hd1.mongodb.net:27017/?ssl=true&authSource=admin&replicaSet=atlas-kaysfi-shard-0&w=majority&j=true&readPreference=primary -p batchsize=1 -p workload=site.ycsb.workloads.CoreWorkload -p maxexecutiontime=1800 -threads 50 -p recordcount=500000000 -p operationcount=99000000 -target 5000 -p fieldcount=10 -p fieldlength=100 -p requestdistribution=uniform -p insertorder=ordered -p readproportion=0.95 -p updateproportion=0.05 -p insertproportion=0.0 -p scanproportion=0.0 -p maxscanlength=1000 -p scanlengthdistribution=uniform -p measurementtype=hdrhistogram -p hdrhistogram.fileoutput=true -p hdrhistogram.output.path=/home/developer/results/ -t
YCSB Client 0.18.0-SNAPSHOT

Loading workload...
Starting test.
Maximum execution time specified as: 1800 secs
2023-05-05 20:16:57:277 0 sec: 0 operations; est completion in 0 second 
20:16:57.397 [Thread-13] WARN  org.mongodb.driver.uri - Uri option 'j' has been deprecated, use 'journal' instead.
20:16:57.397 [Thread-13] WARN  org.mongodb.driver.uri - Uri option 'j' has been deprecated, use 'journal' instead.
mongo client connection created with mongodb://benchant:BareRebel2022@mongodb-small-calibrati-shard-00-00.c2hd1.mongodb.net:27017,mongodb-small-calibrati-shard-00-01.c2hd1.mongodb.net:27017,mongodb-small-calibrati-shard-00-02.c2hd1.mongodb.net:27017/?ssl=true&authSource=admin&replicaSet=atlas-kaysfi-shard-0&w=majority&j=true&readPreference=primary
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2023-05-05 20:17:07:261 10 sec: 48322 operations; 4832.2 current ops/sec; est completion in 5 hours 41 minutes [READ: Count=45860, Max=914431, Min=1187, Avg=4114.23, 90=6639, 99=15079, 99.9=594431, 99.99=897023] [UPDATE: Count=2472, Max=864767, Min=3704, Avg=9912.45, 90=17375, 99=42207, 99.9=860671, 99.99=864767] 
2023-05-05 20:17:17:261 20 sec: 98323 operations; 5000.1 current ops/sec; est completion in 5 hours 35 minutes [READ: Count=47509, Max=20719, Min=1154, Avg=1967.65, 90=2509, 99=4531, 99.9=10303, 99.99=15879] [UPDATE: Count=2485, Max=28991, Min=3590, Avg=5618.49, 90=7055, 99=12359, 99.9=27247, 99.99=28991] 
2023-05-05 20:17:27:261 30 sec: 148323 operations; 5000 current ops/sec; est completion in 5 hours 33 minutes [READ: Count=47525, Max=27711, Min=1170, Avg=1961.84, 90=2509, 99=4547, 99.9=9903, 99.99=18703] [UPDATE: Count=2475, Max=26079, Min=3638, Avg=5558.78, 90=6911, 99=11815, 99.9=15863, 99.99=26079] 
2023-05-05 20:17:37:261 40 sec: 198321 operations; 4999.8 current ops/sec; est completion in 5 hours 32 minutes [READ: Count=47519, Max=30063, Min=1146, Avg=1969.47, 90=2517, 99=4487, 99.9=9815, 99.99=20351] [UPDATE: Count=2482, Max=20527, Min=3606, Avg=5632.01, 90=7139, 99=11775, 99.9=17375, 99.99=20527] 
2023-05-05 20:17:47:261 50 sec: 248317 operations; 4999.6 current ops/sec; est completion in 5 hours 31 minutes [READ: Count=47473, Max=26175, Min=1164, Avg=2035.87, 90=2671, 99=5343, 99.9=12959, 99.99=19343] [UPDATE: Count=2522, Max=31167, Min=3240, Avg=5682.3, 90=7043, 99=14583, 99.9=24431, 99.99=31167] 
2023-05-05 20:17:57:261 60 sec: 298295 operations; 4997.8 current ops/sec; est completion in 5 hours 30 minutes [READ: Count=47494, Max=35103, Min=1151, Avg=3022.02, 90=4843, 99=10991, 99.9=16943, 99.99=21391] [UPDATE: Count=2486, Max=28623, Min=3714, Avg=7043.6, 90=10263, 99=20207, 99.9=26799, 99.99=28623] 
2023-05-05 20:18:07:261 70 sec: 348318 operations; 5002.3 current ops/sec; est completion in 5 hours 30 minutes [READ: Count=47523, Max=27583, Min=1181, Avg=2995.27, 90=4715, 99=10087, 99.9=16431, 99.99=23167] [UPDATE: Count=2499, Max=28479, Min=3308, Avg=6882.37, 90=9727, 99=17727, 99.9=25967, 99.99=28479] 
2023-05-05 20:18:17:261 80 sec: 398215 operations; 4989.7 current ops/sec; est completion in 5 hours 30 minutes [READ: Count=47361, Max=27423, Min=1187, Avg=3064.58, 90=4943, 99=11447, 99.9=19151, 99.99=25295] [UPDATE: Count=2533, Max=231167, Min=3626, Avg=8387.36, 90=10559, 99=36159, 99.9=225535, 99.99=231167] 
2023-05-05 20:18:27:261 90 sec: 448320 operations; 5010.5 current ops/sec; est completion in 5 hours 29 minutes [READ: Count=47584, Max=91071, Min=1158, Avg=3574.19, 90=6247, 99=15311, 99.9=46943, 99.99=82559] [UPDATE: Count=2524, Max=70143, Min=3764, Avg=8061.63, 90=14039, 99=26799, 99.9=48703, 99.99=70143] 
2023-05-05 20:18:37:261 100 sec: 498318 operations; 4999.8 current ops/sec; est completion in 5 hours 29 minutes [READ: Count=47501, Max=29055, Min=1188, Avg=2975.97, 90=4555, 99=10871, 99.9=17311, 99.99=22495] [UPDATE: Count=2498, Max=32303, Min=3698, Avg=6805.29, 90=9503, 99=19839, 99.9=27583, 99.99=32303] 
2023-05-05 20:18:47:261 110 sec: 548322 operations; 5000.4 current ops/sec; est completion in 5 hours 29 minutes [READ: Count=47541, Max=31167, Min=1174, Avg=3014.5, 90=4711, 99=10799, 99.9=16575, 99.99=21231] [UPDATE: Count=2460, Max=41663, Min=3638, Avg=6842.69, 90=9455, 99=17903, 99.9=23887, 99.99=41663] 
2023-05-05 20:18:57:261 120 sec: 598318 operations; 4999.6 current ops/sec; est completion in 5 hours 28 minutes [READ: Count=47595, Max=103999, Min=1181, Avg=4337.55, 90=8623, 99=17039, 99.9=46015, 99.99=74879] [UPDATE: Count=2406, Max=78463, Min=3392, Avg=9030.19, 90=16511, 99=28495, 99.9=55135, 99.99=78463] 
2023-05-05 20:19:07:261 130 sec: 648324 operations; 5000.6 current ops/sec; est completion in 5 hours 28 minutes [READ: Count=47498, Max=41471, Min=1183, Avg=2891.75, 90=4559, 99=11599, 99.9=21439, 99.99=34559] [UPDATE: Count=2508, Max=45503, Min=3734, Avg=7259.19, 90=10591, 99=26495, 99.9=41503, 99.99=45503] 
2023-05-05 20:19:17:261 140 sec: 698322 operations; 4999.8 current ops/sec; est completion in 5 hours 28 minutes [READ: Count=47482, Max=24943, Min=1132, Avg=1976.07, 90=2533, 99=4539, 99.9=10023, 99.99=20751] [UPDATE: Count=2512, Max=23455, Min=3732, Avg=5827.52, 90=7387, 99=11847, 99.9=15511, 99.99=23455] 
