/usr/java/bin/java -XX:MaxRAMPercentage=85.0 -cp /binary/ycsb/mongodb-binding/conf:/binary/ycsb/conf:/binary/ycsb/lib/jackson-core-asl-1.9.4.jar:/binary/ycsb/lib/core-0.18.0-SNAPSHOT.jar:/binary/ycsb/lib/jackson-mapper-asl-1.9.4.jar:/binary/ycsb/lib/HdrHistogram-2.1.4.jar:/binary/ycsb/lib/htrace-core4-4.1.0-incubating.jar:/binary/ycsb/mongodb-binding/lib/logback-classic-1.1.2.jar:/binary/ycsb/mongodb-binding/lib/mongo-java-driver-3.11.0.jar:/binary/ycsb/mongodb-binding/lib/mongodb-async-driver-2.0.1.jar:/binary/ycsb/mongodb-binding/lib/logback-core-1.1.2.jar:/binary/ycsb/mongodb-binding/lib/mongodb-binding-0.18.0-SNAPSHOT.jar:/binary/ycsb/mongodb-binding/lib/snappy-java-1.1.7.1.jar:/binary/ycsb/mongodb-binding/lib/slf4j-api-1.7.25.jar site.ycsb.Client -db site.ycsb.db.MongoDbClient -s -p mongodb.url=mongodb://benchant:BareRebel2022@mongodb-small-calibrati-shard-00-00.c2hd1.mongodb.net:27017,mongodb-small-calibrati-shard-00-01.c2hd1.mongodb.net:27017,mongodb-small-calibrati-shard-00-02.c2hd1.mongodb.net:27017/?ssl=true&authSource=admin&replicaSet=atlas-kaysfi-shard-0&w=majority&j=true&readPreference=primary -p batchsize=1 -p workload=site.ycsb.workloads.CoreWorkload -p maxexecutiontime=1800 -threads 50 -p recordcount=500000000 -p operationcount=99000000 -target 7000 -p fieldcount=10 -p fieldlength=100 -p requestdistribution=hotspot -p hotspotdatafraction=0.013 -p hotspotopnfraction=0.95 -p insertorder=ordered -p readproportion=0.95 -p updateproportion=0.05 -p insertproportion=0.0 -p scanproportion=0.0 -p maxscanlength=1000 -p scanlengthdistribution=uniform -p measurementtype=hdrhistogram -p hdrhistogram.fileoutput=true -p hdrhistogram.output.path=/home/developer/results/ -t
Command line: -db site.ycsb.db.MongoDbClient -s -p mongodb.url=mongodb://benchant:BareRebel2022@mongodb-small-calibrati-shard-00-00.c2hd1.mongodb.net:27017,mongodb-small-calibrati-shard-00-01.c2hd1.mongodb.net:27017,mongodb-small-calibrati-shard-00-02.c2hd1.mongodb.net:27017/?ssl=true&authSource=admin&replicaSet=atlas-kaysfi-shard-0&w=majority&j=true&readPreference=primary -p batchsize=1 -p workload=site.ycsb.workloads.CoreWorkload -p maxexecutiontime=1800 -threads 50 -p recordcount=500000000 -p operationcount=99000000 -target 7000 -p fieldcount=10 -p fieldlength=100 -p requestdistribution=hotspot -p hotspotdatafraction=0.013 -p hotspotopnfraction=0.95 -p insertorder=ordered -p readproportion=0.95 -p updateproportion=0.05 -p insertproportion=0.0 -p scanproportion=0.0 -p maxscanlength=1000 -p scanlengthdistribution=uniform -p measurementtype=hdrhistogram -p hdrhistogram.fileoutput=true -p hdrhistogram.output.path=/home/developer/results/ -t
YCSB Client 0.18.0-SNAPSHOT

Loading workload...
Starting test.
Maximum execution time specified as: 1800 secs
2023-05-06 07:06:18:075 0 sec: 0 operations; est completion in 0 second 
07:06:18.185 [Thread-13] WARN  org.mongodb.driver.uri - Uri option 'j' has been deprecated, use 'journal' instead.
07:06:18.185 [Thread-13] WARN  org.mongodb.driver.uri - Uri option 'j' has been deprecated, use 'journal' instead.
mongo client connection created with mongodb://benchant:BareRebel2022@mongodb-small-calibrati-shard-00-00.c2hd1.mongodb.net:27017,mongodb-small-calibrati-shard-00-01.c2hd1.mongodb.net:27017,mongodb-small-calibrati-shard-00-02.c2hd1.mongodb.net:27017/?ssl=true&authSource=admin&replicaSet=atlas-kaysfi-shard-0&w=majority&j=true&readPreference=primary
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2023-05-06 07:06:28:060 10 sec: 67849 operations; 6784.9 current ops/sec; est completion in 4 hours 3 minutes [READ: Count=64449, Max=660991, Min=1170, Avg=2668.93, 90=3905, 99=9431, 99.9=45087, 99.99=656383] [UPDATE: Count=3418, Max=677887, Min=3124, Avg=7996.98, 90=13167, 99=31759, 99.9=47583, 99.99=677887] 
2023-05-06 07:06:38:060 20 sec: 137852 operations; 7000.3 current ops/sec; est completion in 3 hours 59 minutes [READ: Count=66440, Max=37119, Min=1163, Avg=1781.87, 90=2417, 99=5271, 99.9=9543, 99.99=14655] [UPDATE: Count=3553, Max=31407, Min=3100, Avg=5858.79, 90=7575, 99=11975, 99.9=18399, 99.99=31407] 
2023-05-06 07:06:48:060 30 sec: 207848 operations; 6999.6 current ops/sec; est completion in 3 hours 57 minutes [READ: Count=66537, Max=21599, Min=1182, Avg=1783.38, 90=2403, 99=5279, 99.9=9303, 99.99=14247] [UPDATE: Count=3459, Max=33471, Min=3036, Avg=5890.74, 90=7767, 99=12295, 99.9=20031, 99.99=33471] 
2023-05-06 07:06:58:060 40 sec: 277848 operations; 7000 current ops/sec; est completion in 3 hours 56 minutes [READ: Count=66502, Max=25887, Min=1176, Avg=1773.57, 90=2379, 99=5251, 99.9=10095, 99.99=17471] [UPDATE: Count=3497, Max=23951, Min=3264, Avg=5887.65, 90=7887, 99=12143, 99.9=19439, 99.99=23951] 
2023-05-06 07:07:08:060 50 sec: 347848 operations; 7000 current ops/sec; est completion in 3 hours 56 minutes [READ: Count=66484, Max=42143, Min=1192, Avg=2159.47, 90=3373, 99=9919, 99.9=19471, 99.99=28255] [UPDATE: Count=3519, Max=52895, Min=3184, Avg=7899.69, 90=12103, 99=28223, 99.9=42431, 99.99=52895] 
2023-05-06 07:07:18:060 60 sec: 417835 operations; 6998.7 current ops/sec; est completion in 3 hours 55 minutes [READ: Count=66515, Max=83775, Min=1188, Avg=2711.42, 90=5323, 99=14287, 99.9=25951, 99.99=35807] [UPDATE: Count=3472, Max=271871, Min=3270, Avg=12376.87, 90=17343, 99=132479, 99.9=269311, 99.99=271871] 
2023-05-06 07:07:28:060 70 sec: 487841 operations; 7000.6 current ops/sec; est completion in 3 hours 55 minutes [READ: Count=66471, Max=59135, Min=1180, Avg=2795.44, 90=5383, 99=16767, 99.9=31791, 99.99=51007] [UPDATE: Count=3533, Max=62911, Min=3276, Avg=11742.59, 90=20751, 99=40191, 99.9=59519, 99.99=62911] 
2023-05-06 07:07:38:060 80 sec: 557848 operations; 7000.7 current ops/sec; est completion in 3 hours 55 minutes [READ: Count=66467, Max=101823, Min=1189, Avg=2628.1, 90=4703, 99=15279, 99.9=28991, 99.99=48319] [UPDATE: Count=3540, Max=65119, Min=3664, Avg=10549.49, 90=18175, 99=36671, 99.9=49631, 99.99=65119] 
2023-05-06 07:07:48:060 90 sec: 627845 operations; 6999.7 current ops/sec; est completion in 3 hours 55 minutes [READ: Count=66369, Max=61727, Min=1180, Avg=2456.22, 90=4085, 99=13703, 99.9=25359, 99.99=45439] [UPDATE: Count=3631, Max=44927, Min=3666, Avg=10755.21, 90=18767, 99=30479, 99.9=38687, 99.99=44927] 
2023-05-06 07:07:58:060 100 sec: 697841 operations; 6999.6 current ops/sec; est completion in 3 hours 54 minutes [READ: Count=66383, Max=56223, Min=1177, Avg=2403.85, 90=4103, 99=12383, 99.9=24543, 99.99=35679] [UPDATE: Count=3607, Max=61439, Min=3556, Avg=9882.56, 90=16279, 99=29759, 99.9=44959, 99.99=61439] 
2023-05-06 07:08:08:060 110 sec: 767849 operations; 7000.8 current ops/sec; est completion in 3 hours 54 minutes [READ: Count=66486, Max=37343, Min=1179, Avg=1888.61, 90=2523, 99=7515, 99.9=16119, 99.99=26047] [UPDATE: Count=3524, Max=32063, Min=3174, Avg=6734.33, 90=9783, 99=19151, 99.9=27039, 99.99=32063] 
2023-05-06 07:08:18:060 120 sec: 837847 operations; 6999.8 current ops/sec; est completion in 3 hours 54 minutes [READ: Count=66538, Max=24271, Min=1182, Avg=1788.98, 90=2387, 99=5571, 99.9=12599, 99.99=18895] [UPDATE: Count=3466, Max=31983, Min=3216, Avg=6356.81, 90=8831, 99=16303, 99.9=25807, 99.99=31983] 
